Time,Measure type,Price,Volume,Protein,Butterfat,Unit of Measure
1995-12,Volume,,1177.0,,,Million litres
2010-10,Price,0.258,,,,Pounds per litre
1972-05,Price,0.0359,,,,Pounds per litre
1983-05,Price,0.13449999999999998,,,,Pounds per litre
1996-02,Volume,,1074.0,,,Million litres
2009-09,Price,0.24050000000000002,,,,Pounds per litre
1994-05,Price,0.1892,,,,Pounds per litre
1971-04,Price,0.040999999999999995,,,,Pounds per litre
1982-04,Price,0.1441,,,,Pounds per litre
1997-03,Volume,,1200.0,,,Million litres
2008-08,Price,0.26289999999999997,,,,Pounds per litre
1993-04,Price,0.2,,,,Pounds per litre
2019-08,Price,0.2862,,,,Pounds per litre
1970-03,Price,0.0407,,,,Pounds per litre
1981-03,Price,0.1328,,,,Pounds per litre
1998-04,Volume,,1177.0,,,Million litres
1992-03,Price,0.193,,,,Pounds per litre
2003-09,Protein,,,3.39,,Percentage
2007-07,Price,0.19649999999999998,,,,Pounds per litre
2014-09,Protein,,,3.33,,Percentage
2018-07,Price,0.28559999999999997,,,,Pounds per litre
1980-02,Price,0.1292,,,,Pounds per litre
1999-05,Volume,,1339.0,,,Million litres
2002-08,Protein,,,3.29,,Percentage
2006-06,Price,0.16829999999999998,,,,Pounds per litre
1991-02,Price,0.1895,,,,Pounds per litre
2013-08,Protein,,,3.23,,Percentage
2017-06,Price,0.2676,,,,Pounds per litre
2015-10,Volume,,1204.0,,,Million litres
1990-12,Price,0.1813,,,,Pounds per litre
2004-10,Volume,,1074.0,,,Million litres
2001-07,Protein,,,3.26,,Percentage
2005-05,Price,0.1711,,,,Pounds per litre
1990-01,Price,0.183,,,,Pounds per litre
2016-11,Volume,,1078.0,,,Million litres
2012-07,Protein,,,3.2,,Percentage
2016-05,Price,0.20440000000000003,,,,Pounds per litre
2005-11,Volume,,1030.0,,,Million litres
2000-06,Protein,,,3.29,,Percentage
1994-12,Volume,,1131.0,,,Million litres
2004-04,Price,0.177,,,,Pounds per litre
2017-01,Volume,,1216.0,,,Million litres
2015-04,Price,0.2469,,,,Pounds per litre
2006-01,Volume,,1134.0,,,Million litres
2017-12,Volume,,1219.0,,,Million litres
2011-06,Protein,,,3.23,,Percentage
2006-12,Volume,,1095.0,,,Million litres
2018-02,Volume,,1127.0,,,Million litres
2003-03,Price,0.17370000000000002,,,,Pounds per litre
1976-09,Price,0.09820000000000001,,,,Pounds per litre
2007-02,Volume,,1020.0,,,Million litres
2014-03,Price,0.3371,,,,Pounds per litre
2010-05,Protein,,,3.27,,Percentage
1987-09,Price,0.17739999999999997,,,,Pounds per litre
1998-09,Price,0.1998,,,,Pounds per litre
2019-03,Volume,,1329.0,,,Million litres
2002-02,Price,0.18309999999999998,,,,Pounds per litre
1975-08,Price,0.0727,,,,Pounds per litre
1986-08,Price,0.1684,,,,Pounds per litre
2008-03,Volume,,1137.0,,,Million litres
2013-02,Price,0.3007,,,,Pounds per litre
2020-04,Protein,,,3.32,,Percentage
2001-12,Price,0.1959,,,,Pounds per litre
1997-08,Price,0.2369,,,,Pounds per litre
1974-07,Price,0.050499999999999996,,,,Pounds per litre
2012-12,Price,0.3012,,,,Pounds per litre
2001-01,Price,0.1832,,,,Pounds per litre
2012-01,Price,0.2897,,,,Pounds per litre
1985-07,Price,0.1489,,,,Pounds per litre
2009-04,Volume,,1144.0,,,Million litres
2000-11,Price,0.1859,,,,Pounds per litre
1996-07,Price,0.2669,,,,Pounds per litre
2011-11,Price,0.2945,,,,Pounds per litre
1973-06,Price,0.0381,,,,Pounds per litre
1995-01,Volume,,1114.0,,,Million litres
1984-06,Price,0.1233,,,,Pounds per litre
2017-02,Volume,,1118.0,,,Million litres
2011-05,Protein,,,3.24,,Percentage
2006-02,Volume,,1045.0,,,Million litres
2004-03,Price,0.18469999999999998,,,,Pounds per litre
1977-09,Price,0.1013,,,,Pounds per litre
2015-03,Price,0.2505,,,,Pounds per litre
1988-09,Price,0.1928,,,,Pounds per litre
2018-03,Volume,,1268.0,,,Million litres
2010-04,Protein,,,3.23,,Percentage
1999-09,Price,0.19140000000000001,,,,Pounds per litre
1976-08,Price,0.09050000000000001,,,,Pounds per litre
2007-03,Volume,,1170.0,,,Million litres
2003-02,Price,0.1765,,,,Pounds per litre
2014-02,Price,0.3396,,,,Pounds per litre
1987-08,Price,0.17329999999999998,,,,Pounds per litre
2019-04,Volume,,1339.0,,,Million litres
2002-12,Price,0.17739999999999997,,,,Pounds per litre
1998-08,Price,0.20800000000000002,,,,Pounds per litre
2013-12,Price,0.3422,,,,Pounds per litre
2002-01,Price,0.18780000000000002,,,,Pounds per litre
1975-07,Price,0.0684,,,,Pounds per litre
2020-03,Protein,,,3.36,,Percentage
2008-04,Volume,,1139.0,,,Million litres
2013-01,Price,0.3003,,,,Pounds per litre
1986-07,Price,0.1553,,,,Pounds per litre
2001-11,Price,0.2005,,,,Pounds per litre
1997-07,Price,0.23879999999999998,,,,Pounds per litre
2009-05,Volume,,1203.0,,,Million litres
2012-11,Price,0.3003,,,,Pounds per litre
1974-06,Price,0.0467,,,,Pounds per litre
1985-06,Price,0.12869999999999998,,,,Pounds per litre
2000-10,Price,0.188,,,,Pounds per litre
1996-06,Price,0.23829999999999998,,,,Pounds per litre
1973-05,Price,0.038,,,,Pounds per litre
1995-02,Volume,,989.0,,,Million litres
2011-10,Price,0.2909,,,,Pounds per litre
1984-05,Price,0.1217,,,,Pounds per litre
1995-05,Price,0.2208,,,,Pounds per litre
1972-04,Price,0.0446,,,,Pounds per litre
1996-03,Volume,,1101.0,,,Million litres
